movie_id;budget;worldwide gross;rank
10001;$25,000,000;$58,500,000; 9
10002;$6,000,000;$245,066,411; 5
10003;$13,000,000;NA;NA
10004;$185,000,000;$1,004,558,444; 2
10005;$350,000;NA;NA
10006;$22,000,000;$221,000,000 ; 6
10007;$94,000,000; $1,119,929,521; 1
10008;$8,000,000;$213,928,762; 7
10009;$1,200,000;NA;NA
10010;$63,000,000;$71,000,000; 8
10011;$93,000,000;$871,530,324; 3
10012;$55,000,000;$677,945,399; 4
