movie_id;actor_id
10001;10004
10001;10005
10001;10007
10002;10008
10002;10009
10002;10010
10002;10013
10002;10011
10003;10009
10003;10013
10003;10014
10003;10015
10004;10016
10004;10017
10004;10018
10004;10019
10004;10020
10004;10005
10005;10021
10005;10022
10005;10023
10005;10024
10006;10025
10006;10026
10006;10027
10006;10028
10007;10006
10007;10029
10007;10030
10007;10031
10007;10001
10007;10002
10007;10032
10007;10033
10007;10003
10007;10034
10007;10035
10008;10036
10008;10037
10008;10038
10008;10039
10008;10040
10009;10012
10009;10041
10009;10042
10010;10043
10010;10044
10010;10045
10010;10046
10011;10030
10011;10031
10011;10006
10011;10029
10011;10002
10011;10001
10011;10003
10011;10035
10012;10047
10012;10048
10012;10049
