pastry name, flour, sugar, egg, milk, butter
Madeleine, 92.67, 95.04, 41.66, 0, 171.42
Sugar Cookie, 160.58, 91.76, 8.23, 0, 207.05
Butter Cake, 82.25, 87.45, 31.63, 4.29, 199.77
